Generation,Best Fitness,Avg Fitness,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,39660453670588.77,5758391099163.5625,1912,79,183,187,111,4,24
1,13728080030009.041,2417495714591.102,1879,89,186,179,129,11,27
2,9365114327661.703,1859937241728.6616,1925,81,173,159,123,6,33
3,16677634451370.846,3934336025689.5264,1926,80,172,159,130,8,25
4,26789296066476.934,9196095568109.943,1894,87,181,153,141,11,33
5,16453329254334.91,6234942989032.403,1891,84,180,161,129,18,37
6,21313439742837.79,7038207535603.471,1868,87,182,170,137,14,42
7,15643338737093.658,6449950064754.635,1842,104,191,156,131,26,50
8,68623614664930.06,20025698944275.82,1839,94,184,167,141,25,50
9,39299624343480.28,17619663435142.414,1806,108,191,164,141,32,58
10,61058584449659.04,17357330654563.168,1789,111,196,168,135,35,66
11,78895466795784.38,35615004587525.29,1797,106,188,167,145,36,61
12,62294871468366.39,19299162643640.32,1794,97,191,167,152,38,61
13,79153881186105.78,42581445152568.21,1781,101,197,166,152,38,65
14,148251218216825.0,42204711067254.93,1739,119,205,165,159,45,68
15,229925169527413.6,82725792378059.17,1741,109,210,168,160,45,67
16,214632839476360.28,55691824538314.05,1721,117,196,176,170,49,71
17,138503000733546.31,61273970119253.61,1713,110,213,170,167,51,76
18,180228098575697.7,57364082251261.7,1686,123,210,170,183,57,71
19,188733139111644.72,62411288383547.6,1677,137,208,173,161,63,81
